Unnamed: 0,contributor,hl_num,image_src,isbn,medium,price,product_link,series,title,voicing,series.1,publisher,format,high_quality_image_link,details
31,,265480,https://halleonard-common.s3.amazonaws.com/item_gif/00265480.gif,,General Merchandise,$9.99 (US),https://www.halleonard.com/product/265480/fret-butter-for-guitar?subsiteid=68,DMI Guitar Labs,Fret Butter for Guitar,,,,,,
32,Franz Josef Haydn,51483218,https://halleonard-common.s3.amazonaws.com/item_gif/51483218.gif,,Hardcover,$113.00 (US),https://www.halleonard.com/product/51483218/variations-f-minor-sonata-hob-xvii-6?subsiteid=68,Henle Complete Edition,Variations F Minor (Sonata) Hob. xvii: 6,,,,,,
33,Richard Wagner,49046009,https://halleonard-common.s3.amazonaws.com/item_gif/49046009.gif,,Hardcover,$605.00 (US),https://www.halleonard.com/product/49046009/der-ring-des-nibelungen?subsiteid=68,Misc,Der Ring Des Nibelungen,,,,,,
34,Dick Sheridan,260961,https://halleonard-common.s3.amazonaws.com/item_gif/00260961.gif,9.78E+12,Softcover,$14.99 (US),https://www.halleonard.com/product/260961/chord-bingo?subsiteid=68,Instructional,Chord Bingo,,,,,,
35,Nick Bryant,175501,https://halleonard-common.s3.amazonaws.com/item_gif/00175501.gif,9.78E+12,General Merchandise,$34.99 (US),https://www.halleonard.com/product/175501/the-electric-blues-box-slide-guitar-kit?subsiteid=68,Blues Box,The Electric Blues Box Slide Guitar Kit,,,,,,
36,,776392,https://halleonard-common.s3.amazonaws.com/item_gif/00776392.gif,,General Merchandise,$6.99 (US),https://www.halleonard.com/product/776392/standard-drum-tuning-key?subsiteid=68,Gibraltar,Standard Drum Tuning Key,,,,,,
37,,216159,https://halleonard-common.s3.amazonaws.com/item_gif/00216159.gif,,General Merchandise,$49.95 (US),https://www.halleonard.com/product/216159/ilok-third-generation?subsiteid=68,Pro Tools,iLok (Third Generation),,,,,,
38,,776542,https://halleonard-common.s3.amazonaws.com/item_gif/00776542.gif,,General Merchandise,$134.99 (US),https://www.halleonard.com/product/776542/motorcycle-style-drum-throne?subsiteid=68,Gibraltar,Motorcycle Style Drum Throne,,,,,,
39,,265749,https://halleonard-common.s3.amazonaws.com/item_gif/00265749.gif,,General Merchandise,$99.99 (US),https://www.halleonard.com/product/265749/compass?subsiteid=68,Blue Microphones,Compass,,,,,,
40,Editor: Various,210001,https://halleonard-common.s3.amazonaws.com/item_gif/00210001.gif,9.78E+12,,$3.99 (US),https://www.halleonard.com/product/210001/standard-manuscript-paper--yellow-cover?subsiteid=68,Manuscript Paper,Standard Manuscript Paper ( Yellow Cover),,,,,,
41,Editor: Various,704356,https://halleonard-common.s3.amazonaws.com/item_gif/00704356.gif,9.78E+12,,$3.99 (US),https://www.halleonard.com/product/704356/guitar-tablature-manuscript-paper--standard?subsiteid=68,Manuscript Paper,Guitar Tablature Manuscript Paper – Standard,,,,,,
42,,287167,https://halleonard-common.s3.amazonaws.com/item_gif/00287167.gif,,General Merchandise,$149.99 (US),https://www.halleonard.com/product/287167/yeti-blackout-studio?subsiteid=68,Blue Microphones,Yeti Blackout Studio,,,,,,
43,,142930,https://halleonard-common.s3.amazonaws.com/item_gif/00142930.gif,,General Merchandise,$39.99 (US),https://www.halleonard.com/product/142930/irig-2?subsiteid=68,IK Hardware,iRig 2,,,,,,
44,,214951,https://halleonard-common.s3.amazonaws.com/item_gif/00214951.gif,,General Merchandise,$199.99 (US),https://www.halleonard.com/product/214951/spark-sl?subsiteid=68,Blue Microphones,Spark SL,,,,,,
45,,214950,https://halleonard-common.s3.amazonaws.com/item_gif/00214950.gif,,General Merchandise,$299.99 (US),https://www.halleonard.com/product/214950/bluebird-sl?subsiteid=68,Blue Microphones,Bluebird SL,,,,,,
46,,776368,https://halleonard-common.s3.amazonaws.com/item_gif/00776368.gif,,General Merchandise,$7.99 (US),https://www.halleonard.com/product/776368/short-cymbal-sleeve?subsiteid=68,Gibraltar,Short Cymbal Sleeve,,,,,,
47,,776367,https://halleonard-common.s3.amazonaws.com/item_gif/00776367.gif,,General Merchandise,$7.99 (US),https://www.halleonard.com/product/776367/long-flanged-cymbal-sleeve?subsiteid=68,Gibraltar,Long Flanged Cymbal Sleeve,,,,,,
48,,3718071,https://halleonard-common.s3.amazonaws.com/item_gif/03718071.gif,,General Merchandise,$12.99 (US),https://www.halleonard.com/product/3718071/classicblack--low-tension-nylon-guitar-strings?subsiteid=68,Augustine Strings,Classic/Black – Low Tension Nylon Guitar Strings,,,,,,
49,,51488017,https://halleonard-common.s3.amazonaws.com/item_gif/51488017.gif,,Softcover,$3.95 (US),https://www.halleonard.com/product/51488017/henle-plastic-protector?subsiteid=68,Henle Music Folios,Henle Plastic Protector,,,,,,
50,,3718057,https://halleonard-common.s3.amazonaws.com/item_gif/03718057.gif,,General Merchandise,$12.99 (US),https://www.halleonard.com/product/3718057/classicblue--high-tension-nylon-guitar-strings?subsiteid=68,Augustine Strings,Classic/Blue – High Tension Nylon Guitar Strings,,,,,,
51,,776211,https://halleonard-common.s3.amazonaws.com/item_gif/00776211.gif,,General Merchandise,$18.99 (US),https://www.halleonard.com/product/776211/mini-cymbal-stacker?subsiteid=68,Gibraltar,Mini Cymbal Stacker,,,,,,
52,Various Authors,210002,https://halleonard-common.s3.amazonaws.com/item_gif/00210002.gif,9.78E+12,Softcover,$4.99 (US),https://www.halleonard.com/product/210002/manuscript-paper-deluxe-padblue-cover?subsiteid=68,Manuscript Paper,Manuscript Paper (Deluxe Pad)(Blue Cover),,,,,,
53,,750493,https://halleonard-common.s3.amazonaws.com/item_gif/00750493.gif,,,$39.99 (US),https://www.halleonard.com/product/750493/irig-pre-for-ios-devices?subsiteid=68,IK Hardware,iRig Pre for iOS Devices,,,,,,
54,,294936,https://halleonard-common.s3.amazonaws.com/item_gif/00294936.gif,,General Merchandise,$179.00 (US),https://www.halleonard.com/product/294936/cloudlifter-cl-1?subsiteid=68,Cloud Microphones,Cloudlifter CL-1,,,,,,
55,,776402,https://halleonard-common.s3.amazonaws.com/item_gif/00776402.gif,,General Merchandise,$63.99 (US),https://www.halleonard.com/product/776402/standard-cymbal-boom?subsiteid=68,Gibraltar,Standard Cymbal Boom,,,,,,
56,Various,14023877,https://halleonard-common.s3.amazonaws.com/item_gif/14023877.gif,9.78E+12,General Merchandise,$10.95 (US),https://www.halleonard.com/product/14023877/oak-classic-pennywhistle-in-d?subsiteid=68,Music Sales America,Oak Classic Pennywhistle in D,,,,,,
57,,775986,https://halleonard-common.s3.amazonaws.com/item_gif/00775986.gif,,General Merchandise,$55.99 (US),https://www.halleonard.com/product/775986/bass-drum-platform-mount?subsiteid=68,Gibraltar,Bass Drum Platform Mount,,,,,,
58,Editor: Various,290262,https://halleonard-common.s3.amazonaws.com/item_gif/00290262.gif,9.78E+12,,$4.50 (US),https://www.halleonard.com/product/290262/bass-guitar-tablature-manuscript-paper-purple-cover?subsiteid=68,Manuscript Paper,Bass Guitar Tablature Manuscript Paper (Purple Cover),,,,,,
59,,776018,https://halleonard-common.s3.amazonaws.com/item_gif/00776018.gif,,General Merchandise,$33.99 (US),https://www.halleonard.com/product/776018/hi-hat-drop-clutch?subsiteid=68,Gibraltar,Hi Hat Drop Clutch,,,,,,
60,Various,128338,https://halleonard-common.s3.amazonaws.com/item_gif/00128338.gif,9.78E+12,General Merchandise,$16.99 (US),https://www.halleonard.com/product/128338/the-guitar--music-theory-wheel?subsiteid=68,Book,The Guitar & Music Theory Wheel,,,,,,
61,,775251,https://halleonard-common.s3.amazonaws.com/item_gif/00775251.gif,,General Merchandise,$99.99 (US),https://www.halleonard.com/product/775251/bass-drum-practice-pad?subsiteid=68,Gibraltar,Bass Drum Practice Pad,,,,,,
62,Various Authors,14025124,https://halleonard-common.s3.amazonaws.com/item_gif/14025124.gif,9.78E+12,,$6.99 (US),https://www.halleonard.com/product/14025124/writing-pad-no-15-6-stave-extra-wide?subsiteid=68,Music Sales America,Writing Pad No. 15: 6-stave (Extra Wide),,,,,,
63,,776307,https://halleonard-common.s3.amazonaws.com/item_gif/00776307.gif,,General Merchandise,$8.99 (US),https://www.halleonard.com/product/776307/pedal-spring-assembly?subsiteid=68,Gibraltar,Pedal Spring Assembly,,,,,,
64,,3718064,https://halleonard-common.s3.amazonaws.com/item_gif/03718064.gif,,General Merchandise,$12.99 (US),https://www.halleonard.com/product/3718064/classicred--medium-tension-nylon-guitar-strings?subsiteid=68,Augustine Strings,Classic/Red – Medium Tension Nylon Guitar Strings,,,,,,
65,,776397,https://halleonard-common.s3.amazonaws.com/item_gif/00776397.gif,,General Merchandise,$24.99 (US),https://www.halleonard.com/product/776397/bass-drum-anchor?subsiteid=68,Gibraltar,Bass Drum Anchor,,,,,,
66,,776204,https://halleonard-common.s3.amazonaws.com/item_gif/00776204.gif,,General Merchandise,$45.99 (US),https://www.halleonard.com/product/776204/l-rod-adjustment-clamp?subsiteid=68,Gibraltar,L-Rod Adjustment Clamp,,,,,,
67,,3718082,https://halleonard-common.s3.amazonaws.com/item_gif/03718082.gif,,General Merchandise,$14.99 (US),https://www.halleonard.com/product/3718082/regalblue--high-tension-nylon-guitar-strings?subsiteid=68,Augustine Strings,Regal/Blue – High Tension Nylon Guitar Strings,,,,,,
68,Editor: Various,101787,https://halleonard-common.s3.amazonaws.com/item_gif/00101787.gif,9.78E+12,,$2.99 (US),https://www.halleonard.com/product/101787/manuscript-paper-wide-staff-e-z-play-today?subsiteid=68,Manuscript Paper,Manuscript Paper (Wide Staff) 'E-Z Play Today',,,,,,
69,,131245,https://halleonard-common.s3.amazonaws.com/item_gif/00131245.gif,9.78E+12,General Merchandise,$15.99 (US),https://www.halleonard.com/product/131245/fender-stratocaster--1000-piece-jigsaw-puzzle?subsiteid=68,NMR/ Aquarius,Fender Stratocaster – 1000-Piece Jigsaw Puzzle,,,,,,
70,,3718089,https://halleonard-common.s3.amazonaws.com/item_gif/03718089.gif,,General Merchandise,$14.99 (US),https://www.halleonard.com/product/3718089/imperialred--medium-tension-nylon-guitar-strings?subsiteid=68,Augustine Strings,Imperial/Red – Medium Tension Nylon Guitar Strings,,,,,,
71,Malia Jade Roberson,287856,https://halleonard-common.s3.amazonaws.com/item_gif/00287856.gif,9.78E+12,Softcover,$10.99 (US),https://www.halleonard.com/product/287856/music-theory-staff-paper?subsiteid=68,Manuscript Paper,Music Theory Staff Paper,,,,,,
72,,3700020,https://halleonard-common.s3.amazonaws.com/item_gif/03700020.gif,,Drums,$36.60 (US),https://www.halleonard.com/product/3700020/ambassador-series-coated-drumhead?subsiteid=68,Remo Drum Heads,Ambassador Series Coated Drumhead,,,,,,
73,,290487,https://halleonard-common.s3.amazonaws.com/item_gif/00290487.gif,,General Merchandise,$129.00 (US),https://www.halleonard.com/product/290487/roadie-2?subsiteid=68,Band Industries,Roadie 2,,,,,,
74,Various,240327,https://halleonard-common.s3.amazonaws.com/item_gif/00240327.gif,9.78E+12,Softcover,$14.99 (US),https://www.halleonard.com/product/240327/the-real-book--staff-paper?subsiteid=68,Fake Book,The Real Book – Staff Paper,,,,,,
75,,776191,https://halleonard-common.s3.amazonaws.com/item_gif/00776191.gif,,General Merchandise,$88.99 (US),https://www.halleonard.com/product/776191/gibraltar-long-cymbal-boom-arm-with-brake-tilter?subsiteid=68,Gibraltar,Gibraltar Long Cymbal Boom Arm with Brake Tilter,,,,,,
76,,323637,https://halleonard-common.s3.amazonaws.com/item_gif/00323637.gif,,General Merchandise,$299.00 (US),https://www.halleonard.com/product/323637/wa-47jr-fet-condenser-microphone?subsiteid=68,Warm Audio,WA-47jr FET Condenser Microphone,,,,,,
77,Various,210003,https://halleonard-common.s3.amazonaws.com/item_gif/00210003.gif,9.78E+12,,$5.50 (US),https://www.halleonard.com/product/210003/standard-loose-leaf-manuscript-paper-pink-cover?subsiteid=68,Manuscript Paper,Standard Loose Leaf Manuscript Paper (Pink Cover),,,,,,
78,,154951,https://halleonard-common.s3.amazonaws.com/item_gif/00154951.gif,,General Merchandise,$49.99 (US),https://www.halleonard.com/product/154951/irig-mic-lav?subsiteid=68,IK Hardware,iRig Mic Lav,,,,,,
79,,327508,https://halleonard-common.s3.amazonaws.com/item_gif/00327508.gif,,Audio Interface Unit,"$1,295.00 (US)",https://www.halleonard.com/product/327508/avid-s1-control-surface?subsiteid=68,Eucon Controller,Avid S1 Control Surface,,,,,,
80,Various Authors,14025112,https://halleonard-common.s3.amazonaws.com/item_gif/14025112.gif,9.78E+12,,$6.99 (US),https://www.halleonard.com/product/14025112/musipack-3-ring-filler-no-1-12-stave?subsiteid=68,Music Sales America,Musipack 3 Ring Filler No. 1: 12-stave,,,,,,
81,,345204,https://halleonard-common.s3.amazonaws.com/item_gif/00345204.gif,,General Merchandise,$99.99 (US),https://www.halleonard.com/product/345204/irig-stream-usb-audio-interface?subsiteid=68,Hardware,iRig Stream USB Audio Interface,,,,,,
82,,775348,https://halleonard-common.s3.amazonaws.com/item_gif/00775348.gif,,General Merchandise,$230.99 (US),https://www.halleonard.com/product/775348/gibraltar-electronic-mounting-station?subsiteid=68,Gibraltar,Gibraltar Electronic Mounting Station,,,,,,
83,,279797,https://halleonard-common.s3.amazonaws.com/item_gif/00279797.gif,,General Merchandise,$129.95 (US),https://www.halleonard.com/product/279797/eris-e35?subsiteid=68,Presonus Hardware,Eris E3.5,,,,,,
84,,140046,https://halleonard-common.s3.amazonaws.com/item_gif/00140046.gif,,General Merchandise,$147.99 (US),https://www.halleonard.com/product/140046/mediaone-bt3?subsiteid=68,Samson Audio,MediaOne BT3,,,,,,
85,,3718090,https://halleonard-common.s3.amazonaws.com/item_gif/03718090.gif,,General Merchandise,$14.99 (US),https://www.halleonard.com/product/3718090/imperialblue--high-tension-nylon-guitar-strings?subsiteid=68,Augustine Strings,Imperial/Blue – High Tension Nylon Guitar Strings,,,,,,
86,,775266,https://halleonard-common.s3.amazonaws.com/item_gif/00775266.gif,,General Merchandise,$759.99 (US),https://www.halleonard.com/product/775266/chrome-3-sided-rack-system?subsiteid=68,Gibraltar,Chrome 3-Sided Rack System,,,,,,
87,,3771063,https://halleonard-common.s3.amazonaws.com/item_gif/99991647.gif,,,$0.30 (US),https://www.halleonard.com/product/3771063/musidex-band-march-size-filing-envelopes?subsiteid=68,Southern Music,Musidex Band March-Size Filing Envelopes,,,,,,
88,,3715061,https://halleonard-common.s3.amazonaws.com/item_gif/03715061.gif,,Stringed Instruments,$49.99 (US),https://www.halleonard.com/product/3715061/dark-blue-soprano-ukulele?subsiteid=68,Flight Ukuleles,Dark Blue Soprano Ukulele,,,,,,
89,,131249,https://halleonard-common.s3.amazonaws.com/item_gif/00131249.gif,,General Merchandise,$49.99 (US),https://www.halleonard.com/product/131249/iklip-xpand?subsiteid=68,IK Hardware,iKlip Xpand,,,,,,
90,,776049,https://halleonard-common.s3.amazonaws.com/item_gif/00776049.gif,,General Merchandise,$39.99 (US),https://www.halleonard.com/product/776049/flex-clamp?subsiteid=68,Gibraltar,Flex Clamp,,,,,,
