,product_model,product_desc,category,sub_category,heading_text,product_url,sub_category_url,category_url
66,RGB3C IR,"RGB3C IR;BASIC, 3 CHL RGB W/ IR Remote",DJ,DJ Controllers,Lighting / DJ,https://tmppro.com/products/view/182803/122997,http://tmppro.com/products/category/lighting_dj/dj/djcontrollers,http://tmppro.com/products/group/lighting_dj/dj
67,LED MASTER,LED MASTER; Media VJ software,DJ,DJ Controllers,Lighting / DJ,https://tmppro.com/products/view/172295/122860,http://tmppro.com/products/category/lighting_dj/dj/djcontrollers,http://tmppro.com/products/group/lighting_dj/dj
68,ADJ LED RC3,ADJ LED RC3;WIRELESS REMOTE,DJ,DJ Controllers,Lighting / DJ,https://tmppro.com/products/view/178111/122734,http://tmppro.com/products/category/lighting_dj/dj/djcontrollers,http://tmppro.com/products/group/lighting_dj/dj
69,DDM4000,"Ultimate 5-Channel Digital DJ Mixer with Sampler,",DJ,DJ Controllers,Lighting / DJ,https://tmppro.com/products/view/155256/223316,http://tmppro.com/products/category/lighting_dj/dj/djcontrollers,http://tmppro.com/products/group/lighting_dj/dj
70,ATH-ANC700BTBK,AT ATH-ANC700BTBK,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/226129/464510,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
71,HPX4000,Closed-Type High-Definition DJ Headphones *Sold on,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/155211/223771,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
72,SRH550DJ,SRH Series Professional Quality DJ Headphones,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/81852/116615,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
73,DJPRO60B,DJ Pro Series Lightweight Stereo Headphones (Black),DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/90696/121244,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
74,DJPRO60,DJ Pro Series Lightweight Stereo Headphones (Silver),DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/131257/121243,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
75,DJPRO1000,DJ Pro Series High efficiency Headphones,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/8346/121238,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
76,HPX2000,High-Definition DJ Headphones - Hig,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/155210/223584,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
77,DJH-2000,NADY DJH-2000,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/120055/324263,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
78,SRH750DJ,SRH Series Professional DJ Headphones,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/67416/110920,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
79,HP700,Professional Folding Headphones w/Bag,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/172009/121896,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
80,HP550 LAVA,Folding High Output Headphones (Red),DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/172012/121893,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
81,HP550,Folding High Output Headphones,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/172013/121892,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
82,HP-EP-WH,AT HP-EP-WH,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/182293/203110,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
83,HP-EP,AT HP-EP,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/182294/203111,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
84,EP-FT10,AT EP-FT10,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/54456/204489,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
85,EP-ET/S,AT EP-ET/S,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/77341/203868,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
86,EP-ET/M,AT EP-ET/M,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/77342/203869,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
87,EP-ET/L,AT EP-ET/L,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/77343/203870,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
88,135300210,AT P/N 135300210,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/149438/202864,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
89,HPX6000,Professional DJ Headphones,DJ,DJ Headphones,Lighting / DJ,http://tmppro.com/products/view/155212/223313,http://tmppro.com/products/category/lighting_dj/dj/djheadphones,http://tmppro.com/products/group/lighting_dj/dj
90,UCD-100 MKIII,AMER-DJ UCD-100 MKIII,DJ,DJ Media Players,Lighting / DJ,http://tmppro.com/products/view/221594/464385,http://tmppro.com/products/category/lighting_dj/dj/djmediaplayers,http://tmppro.com/products/group/lighting_dj/dj
91,DN-X600,"2ch Digital DJ Mixer, w/MIDI & Sound Card",DJ,DJ Media Players,Lighting / DJ,http://tmppro.com/products/view/81388/201696,http://tmppro.com/products/category/lighting_dj/dj/djmediaplayers,http://tmppro.com/products/group/lighting_dj/dj
92,AS420V2,Dynamic Handheld Microphone,DJ,DJ Microphones,Lighting / DJ,http://tmppro.com/products/view/14235/465262,http://tmppro.com/products/category/lighting_dj/dj/djmicrophones,http://tmppro.com/products/group/lighting_dj/dj
93,AS420,Low-Z Dynamic Vocal Microphone,DJ,DJ Microphones,Lighting / DJ,http://tmppro.com/products/view/11159/115714,http://tmppro.com/products/category/lighting_dj/dj/djmicrophones,http://tmppro.com/products/group/lighting_dj/dj
94,AS400,Low-Z Dynamic Handheld Microphone,DJ,DJ Microphones,Lighting / DJ,http://tmppro.com/products/view/11158/115713,http://tmppro.com/products/category/lighting_dj/dj/djmicrophones,http://tmppro.com/products/group/lighting_dj/dj
95,DJX750,Professional 5-Channel DJ Mixer with Advanced Digi,DJ,DJ Mixers,Lighting / DJ,https://tmppro.com/products/view/155247/223659,http://tmppro.com/products/category/lighting_dj/dj/djmixers,http://tmppro.com/products/group/lighting_dj/dj
96,DJX900USB,"Professional 5-Channel DJ Mixer with infinium ""Con",DJ,DJ Mixers,Lighting / DJ,https://tmppro.com/products/view/155248/223456,http://tmppro.com/products/category/lighting_dj/dj/djmixers,http://tmppro.com/products/group/lighting_dj/dj
97,DX626,Professional 3-Channel DJ Mixer with BPM Counter,DJ,DJ Mixers,Lighting / DJ,https://tmppro.com/products/view/155246/223714,http://tmppro.com/products/category/lighting_dj/dj/djmixers,http://tmppro.com/products/group/lighting_dj/dj
